Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_52_526.jpg;0;0;0;0;100.4851;85.96935;0.0002395986;268.3679;-2.135751E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_52_568.jpg;0;0;0;0;100.4851;85.96935;0.0002395899;268.3679;-2.07506E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_52_648.jpg;0;0;0;0;100.4851;85.96935;0.0002395645;268.3679;-1.896819E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_52_691.jpg;0;0;0;0;100.4851;85.96935;0.0002395483;268.3679;-1.782939E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_52_733.jpg;0;0;0;0;100.4851;85.96935;0.0002395299;268.3679;-1.653885E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_52_814.jpg;0;0;0;0;100.4851;85.96935;0.000239488;268.3679;-1.359263E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_52_894.jpg;0;0;0;0;100.4851;85.96935;0.000239441;268.3679;-1.029293E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_52_938.jpg;0;0;0;0;100.4851;85.96935;0.0002387632;268.3679;-7.669295E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_52_979.jpg;0;0;0;0;100.4851;85.96935;0.0002383106;268.3679;-5.866292E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_53_020.jpg;0;0;0;0;100.4851;85.96935;0.0002378575;268.3679;-4.031609E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_53_060.jpg;0;0;0;0;100.4851;85.96935;0.0002374042;268.3679;-2.180253E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_53_102.jpg;0;0;0;0;100.4851;85.96935;0.0002369508;268.3679;-3.205594E-07
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_53_143.jpg;0;0;0;0;100.4851;85.96935;0.0002364974;268.3679;1.535799E-06
